ZIP code,City,Price
34267,Fort Ogden,675
34945,Fort Pierce,590
34946,Fort Pierce,640
34947,Fort Pierce,640
34948,Fort Pierce,640
34949,Fort Pierce,640
34950,Fort Pierce,590
34951,Fort Pierce,590
34952,Fort Pierce,640
34953,Fort Pierce,640
34954,Fort Pierce,640
34979,Fort Pierce,640
34981,Fort Pierce,590
34982,Fort Pierce,645
34983,Fort Pierce,645
34984,Fort Pierce,640
34985,Fort Pierce,640
34986,Fort Pierce,590
34987,Fort Pierce,590
34988,Fort Pierce,640
32038,Fort White,1285
33843,Frostproof,770
32259,Fruit Cove,1285
34731,Fruitland Park,940
32601,Gainesville,1090
32602,Gainesville,1090
32603,Gainesville,1090
32604,Gainesville,1090
32605,Gainesville,1090
32606,Gainesville,1090
32607,Gainesville,1090
32608,Gainesville,1090
32609,Gainesville,1090
32610,Gainesville,1090
32611,Gainesville,1090
32612,Gainesville,1090
32613,Gainesville,1090
32614,Gainesville,1090
32627,Gainesville,1090
32635,Gainesville,1090
32641,Gainesville,1090
32653,Gainesville,1090
32732,Geneva,815
32139,Georgetown,1040
33534,Gibsonton,790
33406,Glen Ridge,365
32040,Glen Saint Mary,1340
32720,Glenwood,935
32722,Glenwood,935
33160,Golden Beach,190
34140,Goodland,500
34734,Gotha,790
33170,Goulds,200
32042,Graham,1280
32735,Grand Island,945
32138,Grandin,1135
32909,Grant,665
32949,Grant,665
32950,Grant,665
32909,Grant Valkaria,665
32949,Grant Valkaria,665
32950,Grant Valkaria,685
33050,Grassy Key,565
33413,Green Acres,370
33415,Green Acres,370
33454,Green Acres,370
33463,Green Acres,370
33467,Green Acres,370
32043,Green Cove Springs,1280
32331,Greenville,1885
34224,Grove City,715
34736,Groveland,825
34737,Groveland,825
32639,Gulf Hammock,1080
33483,Gulf Stream,290
33707,Gulfport,840
33711,Gulfport,780
33844,Haines City,800
33845,Haines City,800
34788,Haines Creek,885
33008,Hallandale,200
33009,Hallandale,200
33009,Hallandale Beach,200
32044,Hampton,1285
34771,Harmony,740
34773,Harmony,715
32145,Hastings,1075
33409,Haverhill,365
33415,Haverhill,365
33417,Haverhill,365
33422,Haverhill,365
32640,Hawthorne,1075
32746,Heathrow,740
34442,Hernando,1025
34607,Hernando Bch,975
33002,Hialeah,190
33010,Hialeah,190
33011,Hialeah,190
33012,Hialeah,190
33013,Hialeah,190
33014,Hialeah,190
33015,Hialeah,190
33016,Hialeah,190
33017,Hialeah,190
33018,Hialeah,190
33010,Hialeah Gardens,190
33016,Hialeah Gardens,190
33018,Hialeah Gardens,190
33016,Hialeah Gdns,190
33018,Hialeah Gdns,190
33014,Hialeah Lakes,190
33015,Hialeah Lakes,190
32818,Hiawassee,785
32643,High Springs,1290
32655,High Springs,1290
33487,Highland Beach,285
33846,Highland City,795
32046,Hilliard,1335
33062,Hillsboro Bch,550
33455,Hobe Sound,510
33475,Hobe Sound,510
34445,Holder,1040
34690,Holiday,865
34691,Holiday,865
34692,Holiday,865
32147,Hollister,1090
32117,Holly Hill,875
32125,Holly Hill,875
33019,Hollywood,200
33020,Hollywood,200
33021,Hollywood,200
33022,Hollywood,200
33023,Hollywood,200
33024,Hollywood,200
33025,Hollywood,200
33026,Hollywood,200
33027,Hollywood,200
33028,Hollywood,200
33029,Hollywood,200
33081,Hollywood,200
33082,Hollywood,200
33083,Hollywood,200
33084,Hollywood,200
33312,Hollywood,200
33314,Hollywood,200
33316,Hollywood,200
33332,Hollywood,200
34217,Holmes Beach,840
34218,Holmes Beach,840
33729,Home Shopping,800
33847,Homeland,795
33030,Homestead,200
33031,Homestead,200
33032,Homestead,200
33033,Homestead,200
33034,Homestead,285
33035,Homestead,285
33039,Homestead,200
33090,Homestead,200
33092,Homestead,200
33039,Homestead AFB,200
34446,Homosassa,1085
34448,Homosassa,1085
34487,Homosassa,1085
34447,Homosassa Springs,1085
32648,Horseshoe Beach,1285
34737,Howey In Hls,940
34797,Howey In Hls,940
34737,Howey in the Hills,940
34797,Howey in the Hills,940
34667,Hudson,900
34669,Hudson,900
34674,Hudson,900
34949,Hutchinson Island,655
33462,Hypoluxo,290
34142,Immokalee,540
34143,Immokalee,540
33154,Ind Crk Village,190
32937,Ind Hbr Bch,725
32903,Indialantic,665
33154,Indian Creek,190
33154,Indian Creek Village,190
32937,Indian Harbour Beach,690
33855,Indian Lake Estates,740
32963,Indian River Shores,685
33785,Indian Rk Bch,910
33786,Indian Rk Bch,910
34956,Indiantown,490
32937,Indn Hbr Bch,685
32963,Indn Riv Shrs,655
34449,Inglis,1085
33848,Intercession City,815
32148,Interlachen,1085
32149,Interlachen,1085
34450,Inverness,975
34451,Inverness,975
34452,Inverness,975
34453,Inverness,975
33319,Inverrary,975
33036,Islamorada,500
33070,Islamorada,500
32654,Island Grove,1125
34636,Istachatta,1050
32099,Jacksonville,1290
32201,Jacksonville,1290
32202,Jacksonville,1290
32203,Jacksonville,1290
32204,Jacksonville,1290
32205,Jacksonville,1290
32206,Jacksonville,1290
32207,Jacksonville,1290
32208,Jacksonville,1290
32209,Jacksonville,1290
32210,Jacksonville,1290
32211,Jacksonville,1290
32212,Jacksonville,1290
32214,Jacksonville,1290
32215,Jacksonville,1290
32216,Jacksonville,1290
32217,Jacksonville,1290
32218,Jacksonville,1335
32219,Jacksonville,1335
32220,Jacksonville,1290
32221,Jacksonville,1290
32222,Jacksonville,1290
32223,Jacksonville,1290
32224,Jacksonville,1290
32225,Jacksonville,1290
32226,Jacksonville,1335
32227,Jacksonville,1290
32228,Jacksonville,1290
32229,Jacksonville,1290
32230,Jacksonville,1290
32231,Jacksonville,1290
32232,Jacksonville,1290
32233,Jacksonville,1290
32234,Jacksonville,1290
32235,Jacksonville,1290
32236,Jacksonville,1290
32237,Jacksonville,1290
32238,Jacksonville,1290
32239,Jacksonville,1290
32240,Jacksonville,1290
32241,Jacksonville,1290
32244,Jacksonville,1290
32245,Jacksonville,1290
32246,Jacksonville,1290
32247,Jacksonville,1290
32250,Jacksonville,1290
32254,Jacksonville,1290
32255,Jacksonville,1290
32256,Jacksonville,1290
32257,Jacksonville,1290
32258,Jacksonville,1290
32259,Jacksonville,1290
32260,Jacksonville,1290
32266,Jacksonville,1290
32277,Jacksonville,1290
32227,Jacksonville Beach,1290
32240,Jacksonville Beach,1290
32250,Jacksonville Beach,1290
32212,Jacksonville N A S,1290
32212,Jacksonville Naval Air Stati,1290
32214,Jacksonville Naval Hospital,1290
32052,Jasper,1430
32053,Jennings,1430
34957,Jensen Beach,570
34958,Jensen Beach,570
34141,Jerome,535
32669,Jonesville,1290
33880,JPV,755
32259,Julington Creek,1290
33408,Juno Beach,365
33458,Jupiter,485
33468,Jupiter,485
33469,Jupiter,485
33477,Jupiter,485
33478,Jupiter,485
33469,Jupiter Inlet Colony,495
33849,Kathleen,810
34739,Kenansville,715
33156,Kendall,190
33158,Kendall,190
33173,Kendall,190
33176,Kendall,190
33183,Kendall,190
33186,Kendall,190
33193,Kendall,190
33196,Kendall,190
33256,Kendall,190
33283,Kendall,190
33296,Kendall,190
32815,Kennedy Space Center,795
32899,Kennedy Space Center,795
33709,Kenneth City,790
33149,Key Biscayne,190
33051,Key Colony Beach,535
33037,Key Largo,290
33040,Key West,675
33041,Key West,675
33045,Key West,675
33040,Key West Nas,675
33040,Key West Naval Air Station,675
32656,Keystone Heights,1135
33261,Keystone Islands,1135
34740,Killarney,815
32091,Kingsley Lake,1290
34741,Kissimmee,790
34742,Kissimmee,790
34743,Kissimmee,790
34744,Kissimmee,790
34745,Kissimmee,790
34746,Kissimmee,790
34747,Kissimmee,790
34758,Kissimmee,790
34759,Kissimmee,790
33935,La Belle,540
32658,La Crosse,1290
33537,Lacoochee,935
32158,Lady Lake,965
32159,Lady Lake,965
32162,Lady Lake,940
32163,Lady Lake,965
33850,Lake Alfred,755
32830,Lake Buena Vista,790
32054,Lake Butler,1290
32061,Lake Butler,1290
32024,Lake City,1335
32025,Lake City,1335
32055,Lake City,1335
32056,Lake City,1335
33406,Lake Clarke,380
33406,Lake Clarke Shores,380
32157,Lake Como,1100
32160,Lake Geneva,1135
33851,Lake Hamilton,800
33459,Lake Harbor,440
32744,Lake Helen,865
32746,Lake Mary,840
32795,Lake Mary,840
32747,Lake Monroe,870
33538,Lake Panasoffke,935
33403,Lake Park,365
33852,Lake Placid,585
33862,Lake Placid,585
34266,Lake Suzy,665
34269,Lake Suzy,665
33853,Lake Wales,790
33854,Lake Wales,790
33855,Lake Wales,790
33856,Lake Wales,790
33859,Lake Wales,790
33867,Lake Wales,790
33898,Lake Wales,790
33449,Lake Worth,300
33454,Lake Worth,315
33460,Lake Worth,315
33461,Lake Worth,315
33462,Lake Worth,285
33463,Lake Worth,315
33465,Lake Worth,315
33466,Lake Worth,315
33467,Lake Worth,315
33801,Lakeland,790
33802,Lakeland,790
33803,Lakeland,790
33804,Lakeland,790
33805,Lakeland,790
33806,Lakeland,790
33807,Lakeland,790
33809,Lakeland,790
33810,Lakeland,790
33811,Lakeland,790
33812,Lakeland,790
33813,Lakeland,790
33815,Lakeland,790
34202,Lakewood Ranch,795
34203,Lakewood Ranch,795
34211,Lakewood Ranch,795
34212,Lakewood Ranch,795
34240,Lakewood Ranch,740
32336,Lamont,1885
34637,Land O Lakes,915
34638,Land O Lakes,915
34639,Land O Lakes,915
34639,Land O' Lakes,915
33460,Lantana,315
33462,Lantana,290
33465,Lantana,290
33770,Largo,840
33771,Largo,840
33772,Largo,840
33773,Largo,840
33774,Largo,840
33775,Largo,840
33776,Largo,840
33777,Largo,840
33778,Largo,840
33779,Largo,840
33308,Laud By Sea,200
33062,Laud By The Sea,200
33309,Laud Lakes,200
33311,Laud Lakes,200
33313,Laud Lakes,200
33319,Laud Lakes,200
33330,Laud Lakes,200
33319,Lauder Hill,200
33321,Lauder Hill,200
33312,Lauderdale Isles,200
33309,Lauderdale Lakes,200
33311,Lauderdale Lakes,200
33313,Lauderdale Lakes,200
33319,Lauderdale Lakes,200
34272,Laurel,740
32058,Lawtey,1290
33305,Lazy Lake,245
34460,Lecanto,1040
34461,Lecanto,1040
32059,Lee,1440
34748,Leesburg,885
34749,Leesburg,885
34788,Leesburg,885
34789,Leesburg,885
33936,Lehigh,640
33971,Lehigh,640
33972,Lehigh,640
33973,Lehigh,640
33974,Lehigh,540
33976,Lehigh,640
33064,Lighthouse Point,250
33074,Lighthouse Point,250
33547,Lithia,790
33042,Little Torch Key,675
32060,Live Oak,1335
32064,Live Oak,1335
32337,Lloyd,1990
32662,Lochloosa,1090
32810,Lockhart,795
34228,Long Boat Key,825
33001,Long Key,575
32750,Longwood,815
32752,Longwood,815
32779,Longwood,815
32791,Longwood,815
33857,Lorida,590
33858,Loughman,790
32663,Lowell,1090
33042,Lower Sugarloaf Key,675
33470,Loxahatchee,485
33255,Ludlam,190
32061,Lulu,1290
33548,Lutz,840
33549,Lutz,840
33558,Lutz,840
33559,Lutz,840
33042,Lwr Sugarloaf,675
32063,Macclenny,1340
33708,Madeira Beach,840
33738,Madeira Beach,840
32340,Madison,1875
32341,Madison,1875
34771,Magnolia Square,740
32751,Maitland,790
32794,Maitland,790
32950,Malabar,685
33462,Manalapan,290
33550,Mango,290
33050,Marathon,575
33051,Marathon,575
33052,Marathon,575
33050,Marathon Shores,575
33052,Marathon Shores,575
34145,Marco Island,515
34146,Marco Island,515
33063,Margate,245
33065,Margate,245
33068,Margate,245
33073,Margate,245
33076,Margate,245
33093,Margate,245
34604,Masaryktown,990
34753,Mascotte,915
33993,Matlacha,640
33991,Matlacha Isle,640
32234,Maxville,1290
32066,Mayo,1340
32062,Mc Alpin,1340
33166,Medley,190
33178,Medley,190
32901,Melbourne,690
32902,Melbourne,690
32903,Melbourne,690
32904,Melbourne,690
32905,Melbourne,690
32906,Melbourne,690
32907,Melbourne,690
32908,Melbourne,690
32909,Melbourne,690
32910,Melbourne,690
32911,Melbourne,690
32912,Melbourne,690
32919,Melbourne,690
32934,Melbourne,690
32935,Melbourne,690
32936,Melbourne,690
32937,Melbourne,690
32940,Melbourne,690
32941,Melbourne,690
32951,Melbourne,690
32951,Melbourne Bch,690
32951,Melbourne Beach,690
32904,Melbourne Village,715
32666,Melrose,1140
32952,Merritt Island,740
32953,Merritt Island,740
32954,Merritt Island,740
33101,Miami,190
33102,Miami,190
33109,Miami,190
33111,Miami,190
33112,Miami,190
33114,Miami,190
33116,Miami,190
33119,Miami,190
33122,Miami,190
33124,Miami,190
33125,Miami,190
33126,Miami,190
33127,Miami,190
33128,Miami,190
33129,Miami,190
33130,Miami,190
